"city_to_weather_id","address","date","weather","wind","temperature"
"1","天津","2018-09-19","小雨","东南风","21"
"2","北京","2018-09-19","多云","西南风","21"
"3","南京","2018-09-19","阴","西风","34"
"4","天津","2018-09-20","阴","南风","19"
"5","北京","2018-09-20","雾","南风","17"
"6","南京","2018-09-20","多云","西南风","31"
"7","天津","2018-09-21","多云","西南风","21"
"8","北京","2018-09-21","晴","西南风","19"
"9","南京","2018-09-21","多云","西北风","25"
"10","天津","2018-09-22","晴","东风","18"
"11","北京","2018-09-22","晴","南风","14"
"12","南京","2018-09-22","多云","南风","25"
"13","天津","2018-09-23","晴","南风","18"
"14","北京","2018-09-23","晴","南风","13"
"15","南京","2018-09-23","阴","南风","25"
"16","天津","2018-09-24","晴","北风","17"
"17","北京","2018-09-24","晴","西北风","14"
"18","南京","2018-09-24","晴","东北风","20"
"19","天津","2018-09-25","晴","南风","17"
"20","北京","2018-09-25","晴","西南风","15"
"21","南京","2018-09-25","多云","东风","20"
"22","天津","2018-09-26","多云","西风","18"
"23","北京","2018-09-26","多云","南风","16"
"24","南京","2018-09-26","阴","东风","19"
"25","天津","2018-09-27","多云","南风","16"
"26","北京","2018-09-27","多云","西南风","14"
"27","南京","2018-09-27","多云","北风","19"
"28","天津","2018-09-28","阴","西风","19"
"29","北京","2018-09-28","雾","东风","16"
"30","南京","2018-09-28","多云","东风","21"
"31","天津","2018-09-29","阴","东北风","16"
"32","北京","2018-09-29","多云","东北风","13"
"33","南京","2018-09-29","多云","西风","20"
"34","天津","2018-09-30","晴","西北风","14"
"35","北京","2018-09-30","晴","西风","9"
"36","南京","2018-09-30","晴","西北风","19"
"37","天津","2018-10-01","晴","北风","13"
"38","北京","2018-10-01","多云","北风","13"
"39","南京","2018-10-01","晴","北风","18"
"40","天津","2018-10-02","晴","西风","18"
"41","北京","2018-10-02","晴","西风","11"
"42","南京","2018-10-02","多云","西南风","16"
"43","天津","2018-10-03","晴","西南风","15"
"44","北京","2018-10-03","晴","西风","9"
"45","南京","2018-10-03","晴","东风","16"
"46","天津","2018-10-04","晴","东南风","16"
"47","北京","2018-10-04","晴","南风","10"
"48","南京","2018-10-04","多云","东风","19"
"49","天津","2018-10-05","晴","东南风","18"
"50","北京","2018-10-05","晴","东北风","15"
"51","南京","2018-10-05","多云","东北风","17"
"52","天津","2018-10-06","阴","北风","16"
"53","北京","2018-10-06","多云","西北风","17"
"54","南京","2018-10-06","多云","西北风","15"
"55","天津","2018-10-07","晴","西南风","15"
"56","北京","2018-10-07","晴","西南风","5"
"57","南京","2018-10-07","晴","东风","17"
"58","天津","2018-10-08","晴","西南风","13"
"59","北京","2018-10-08","晴","南风","5"
"60","南京","2018-10-08","多云","东风","20"
"61","天津","2018-10-09","多云","西风","12"
"62","北京","2018-10-09","多云","东北风","10"
"63","南京","2018-10-09","多云","东风","22"
"64","天津","2018-10-10","晴","西北风","9"
"65","北京","2018-10-10","多云","东北风","6"
"66","南京","2018-10-10","阴","北风","16"
"67","天津","2018-10-11","晴","西北风","10"
"68","北京","2018-10-11","晴","北风","8"
"69","南京","2018-10-11","晴","西北风","10"
"70","天津","2018-10-12","晴","西南风","7"
"71","北京","2018-10-12","多云","西南风","5"
"72","南京","2018-10-12","晴","东北风","11"
"73","天津","2018-10-13","多云","东南风","11"
"74","北京","2018-10-13","多云","南风","8"
"75","南京","2018-10-13","晴","东风","12"
"76","天津","2018-10-14","多云","西风","12"
"77","北京","2018-10-14","晴","东南风","8"
"78","南京","2018-10-14","多云","东风","14"
"79","天津","2018-10-15","多云","西风","16"
"80","北京","2018-10-15","多云","东南风","11"
"81","南京","2018-10-15","多云","东风","15"
"82","天津","2018-10-16","小雨","北风","14"
"83","北京","2018-10-16","阴","东北风","11"
"84","南京","2018-10-16","小雨","东风","15"
"85","天津","2018-10-17","多云","东北风","8"
"86","北京","2018-10-17","晴","东风","7"
"87","南京","2018-10-17","多云","西北风","14"
"88","天津","2018-10-18","晴","东北风","7"
"89","北京","2018-10-18","晴","西北风","4"
"90","南京","2018-10-18","晴","东北风","15"
"91","天津","2018-10-19","晴","西风","8"
"92","北京","2018-10-19","多云","西北风","5"
"93","南京","2018-10-19","多云","东北风","10"
"94","天津","2018-10-20","晴","西风","8"
"95","北京","2018-10-20","多云","西南风","5"
"96","南京","2018-10-20","多云","东风","14"
"97","天津","2018-10-21","多云","西南风","11"
"98","北京","2018-10-21","多云","东南风","7"
"99","南京","2018-10-21","多云","东风","15"
"100","天津","2018-10-22","多云","西南风","11"
"101","北京","2018-10-22","晴","东风","7"
"102","南京","2018-10-22","小雨","东风","17"
"103","天津","2018-10-23","晴","北风","11"
"104","北京","2018-10-23","晴","南风","7"
